Województwo,Nr okręgu,Kod gminy,Gmina,Powiat,Obwody,Uprawnieni,Karty wydane,Głosy oddane,Głosy nieważne,Głosy ważne,Dariusz Maciej GRABOWSKI,Piotr IKONOWICZ,Jarosław KALINOWSKI,Janusz KORWIN-MIKKE,Marian KRZAKLEWSKI,Aleksander KWAŚNIEWSKI,Andrzej LEPPER,Jan ŁOPUSZAŃSKI,Andrzej Marian OLECHOWSKI,Bogdan PAWŁOWSKI,Lech WAŁĘSA,Tadeusz Adam WILECKI
DOLNOŚLĄSKIE,1,021402,Bierutów,oleśnicki,7,7705,4118,4118,58,4060,19,6,247,54,562,2438,176,19,508,0,22,9
DOLNOŚLĄSKIE,1,021701,Borów,strzeliński,3,4024,2546,2546,26,2520,7,3,495,14,426,1181,143,15,211,0,20,5
DOLNOŚLĄSKIE,1,022201,Brzeg Dolny,wołowski,10,12832,7776,7775,78,7697,43,14,177,106,877,4701,192,46,1456,14,58,13
DOLNOŚLĄSKIE,1,021301,Cieszków,milicki,3,3438,2108,2107,29,2078,6,2,134,12,253,1366,107,9,177,0,11,1
DOLNOŚLĄSKIE,1,022301,Czernica,wrocławski,5,5400,3321,3317,49,3268,22,8,74,38,607,1641,96,41,714,4,20,3
DOLNOŚLĄSKIE,1,022302,Długołęka,wrocławski,14,12846,7271,7270,82,7188,28,6,430,77,1183,3490,402,47,1421,3,84,17
DOLNOŚLĄSKIE,1,021403,Dobroszyce,oleśnicki,3,4204,2063,2063,25,2038,12,2,142,20,305,1154,84,12,288,0,12,7
DOLNOŚLĄSKIE,1,021502,Domaniów,oławski,4,3883,2226,2226,20,2206,2,1,308,10,238,1156,234,10,231,3,10,3
DOLNOŚLĄSKIE,1,021404,Dziadowa Kłoda,oleśnicki,2,3256,1918,1918,25,1893,3,4,255,17,77,1301,96,5,124,1,8,2
DOLNOŚLĄSKIE,1,021503,Jelcz-Laskowice,oławski,13,15634,9265,9265,96,9169,33,18,250,137,1452,4812,255,98,1995,4,106,9
DOLNOŚLĄSKIE,1,022303,Jordanów Śląski,wrocławski,2,2176,1211,1211,13,1198,3,3,153,9,141,642,112,2,120,1,8,4
DOLNOŚLĄSKIE,1,022304,Kąty Wrocławskie,wrocławski,9,11972,7120,7118,77,7041,33,15,367,99,1142,3898,281,36,1096,1,61,12
DOLNOŚLĄSKIE,1,022305,Kobierzyce,wrocławski,9,8703,4899,4894,57,4837,25,9,322,50,670,2572,292,23,811,4,53,6
DOLNOŚLĄSKIE,1,021702,Kondratowice,strzeliński,5,3577,2059,2059,19,2040,7,1,140,9,229,1361,114,6,159,0,12,2
DOLNOŚLĄSKIE,1,021801,Kostomłoty,średzki,5,5173,2824,2817,36,2781,11,2,319,21,287,1767,130,24,206,2,11,1
DOLNOŚLĄSKIE,1,021302,Krośnice,milicki,4,5886,3398,3398,42,3356,11,4,233,32,393,2137,176,15,310,4,35,6
DOLNOŚLĄSKIE,1,021802,Malczyce,średzki,5,4493,2573,2573,40,2533,14,3,100,35,298,1685,105,26,245,2,11,9
DOLNOŚLĄSKIE,1,022306,Mietków,wrocławski,3,2815,1653,1653,19,1634,8,1,156,14,208,979,87,6,164,0,8,3
DOLNOŚLĄSKIE,1,021405,Międzybórz,oleśnicki,3,3598,2078,2077,24,2053,8,1,76,20,150,1515,55,6,201,3,17,1
DOLNOŚLĄSKIE,1,021803,Miękinia,średzki,6,7992,4115,4115,64,4051,18,4,137,47,694,2310,114,76,616,2,24,9
DOLNOŚLĄSKIE,1,021303,Milicz,milicki,19,18098,11233,11231,123,11108,52,22,515,92,1349,7182,418,79,1281,7,94,17
DOLNOŚLĄSKIE,1,022001,Oborniki Śląskie,trzebnicki,7,12749,7505,7503,70,7433,38,15,216,131,1265,3953,175,87,1461,9,70,13
DOLNOŚLĄSKIE,1,021401,Oleśnica,oleśnicki,20,29346,18732,18727,125,18602,95,38,318,340,2842,11404,278,126,2916,5,162,78
DOLNOŚLĄSKIE,1,021406,Oleśnica gm.,oleśnicki,7,7840,3868,3866,43,3823,18,4,327,18,404,2471,176,15,351,2,30,7
DOLNOŚLĄSKIE,1,021501,Oława,oławski,16,24832,16005,15998,122,15876,79,42,323,220,2647,8742,289,109,3239,9,152,25
DOLNOŚLĄSKIE,1,021504,Oława gm.,oławski,7,9455,5301,5300,63,5237,21,3,334,34,1082,2589,234,25,852,4,42,17
DOLNOŚLĄSKIE,1,022002,Prusice,trzebnicki,5,6746,3422,3422,35,3387,18,3,202,21,375,2157,211,6,362,4,20,8
DOLNOŚLĄSKIE,1,021703,Przeworno,strzeliński,6,4061,2354,2353,23,2330,13,3,177,14,211,1503,227,14,152,1,11,4
DOLNOŚLĄSKIE,1,022307,Sobótka,wrocławski,6,9176,5152,5149,53,5096,19,5,299,56,675,3102,174,27,703,3,29,4
DOLNOŚLĄSKIE,1,021704,Strzelin,strzeliński,15,17772,10624,10621,90,10531,30,19,501,83,1684,6327,260,88,1414,5,103,17
DOLNOŚLĄSKIE,1,021407,Syców,oleśnicki,8,11952,7500,7497,61,7436,45,4,242,88,719,5072,137,54,1015,0,49,11
DOLNOŚLĄSKIE,1,021804,Środa Śląska,średzki,12,14612,8237,8235,73,8162,46,18,282,137,1083,5243,192,54,1048,7,37,15
DOLNOŚLĄSKIE,1,022308,Święta Katarzyna,wrocławski,9,9229,5671,5671,62,5609,38,11,255,94,1120,2655,167,43,1165,1,52,8
DOLNOŚLĄSKIE,1,022003,Trzebnica,trzebnicki,11,16284,9380,9368,93,9275,34,13,346,134,1414,5093,345,34,1774,6,74,8
DOLNOŚLĄSKIE,1,021408,Twardogóra,oleśnicki,5,9337,5375,5372,44,5328,26,14,139,49,714,3672,126,25,521,4,29,9
DOLNOŚLĄSKIE,1,021805,Udanin,średzki,4,4140,2430,2428,33,2395,8,2,210,13,282,1518,152,29,176,0,4,1
DOLNOŚLĄSKIE,1,021705,Wiązów,strzeliński,5,5731,2945,2944,39,2905,11,6,281,20,542,1482,225,15,290,2,24,7
DOLNOŚLĄSKIE,1,022202,Wińsko,wołowski,7,6809,3721,3718,54,3664,24,8,326,22,540,2165,184,13,339,1,28,14
DOLNOŚLĄSKIE,1,022004,Wisznia Mała,trzebnicki,3,5209,2886,2884,32,2852,14,2,117,37,466,1450,164,20,542,1,38,1
DOLNOŚLĄSKIE,1,022203,Wołów,wołowski,14,17713,10952,10948,108,10840,46,19,391,106,1458,6669,412,53,1583,11,75,17
DOLNOŚLĄSKIE,1,026401,Wrocław,Wrocław,293,496580,321408,321117,2510,318607,1765,750,4162,6957,60090,150343,3846,2908,83259,360,3594,573
DOLNOŚLĄSKIE,1,022005,Zawonia,trzebnicki,3,3854,1891,1889,31,1858,5,2,106,13,175,1255,105,10,172,0,10,5
DOLNOŚLĄSKIE,1,022006,Żmigród,trzebnicki,9,11027,6292,6289,62,6227,29,10,309,53,569,4130,359,15,710,9,29,5
DOLNOŚLĄSKIE,1,022309,Żórawina,wrocławski,5,5738,3004,3004,24,2980,7,1,214,21,496,1567,143,16,472,2,38,3
DOLNOŚLĄSKIE,2,022503,Bogatynia,zgorzelecki,21,19410,11634,11629,96,11533,41,19,195,115,1258,8019,149,32,1593,6,90,16
DOLNOŚLĄSKIE,2,020101,Bolesławiec,bolesławiecki,22,33865,21346,21325,172,21153,115,35,349,274,2698,13120,334,278,3705,14,199,32
DOLNOŚLĄSKIE,2,020102,Bolesławiec gm.,bolesławiecki,10,8364,4710,4709,58,4651,22,4,268,44,632,2586,371,36,633,4,42,9
DOLNOŚLĄSKIE,2,020103,Gromadka,bolesławiecki,4,4195,2313,2312,24,2288,8,3,118,14,328,1444,66,11,271,2,17,6
DOLNOŚLĄSKIE,2,021201,Gryfów Śląski,lwówecki,7,8234,4713,4711,68,4643,23,14,139,43,544,3052,93,21,668,3,37,6
DOLNOŚLĄSKIE,2,020605,Janowice Wielkie,jeleniogórski,4,3141,1765,1765,24,1741,9,4,34,13,154,1207,59,4,248,1,7,1
DOLNOŚLĄSKIE,2,026101,Jelenia Góra,Jelenia Góra,45,71598,43667,43632,403,43229,220,95,648,656,5014,26688,604,189,8640,36,384,55
DOLNOŚLĄSKIE,2,020606,Jeżów Sudecki,jeleniogórski,4,4356,2444,2444,42,2402,9,5,97,23,332,1417,67,20,399,2,25,6
DOLNOŚLĄSKIE,2,020701,Kamienna Góra,kamiennogórski,13,17884,10606,10606,100,10506,31,16,136,109,1501,6974,166,52,1426,8,76,11
DOLNOŚLĄSKIE,2,020702,Kamienna Góra gm.,kamiennogórski,7,6224,3567,3564,49,3515,14,5,165,28,502,2199,138,22,399,4,35,4
DOLNOŚLĄSKIE,2,020601,Karpacz,jeleniogórski,4,4442,2539,2539,21,2518,13,3,34,43,274,1578,19,3,524,2,19,6
DOLNOŚLĄSKIE,2,020602,Kowary,jeleniogórski,9,9845,5929,5929,70,5859,28,17,75,66,615,3988,106,43,859,5,49,8
DOLNOŚLĄSKIE,2,021003,Leśna,lubański,9,8291,4642,4642,37,4605,40,8,136,36,476,3198,142,19,485,5,48,12
DOLNOŚLĄSKIE,2,021001,Lubań,lubański,15,18901,11484,11481,90,11391,84,18,173,117,1313,7597,208,49,1719,8,84,21
DOLNOŚLĄSKIE,2,021004,Lubań gm.,lubański,7,4673,2536,2535,33,2502,11,7,157,11,262,1637,127,17,243,2,21,7
DOLNOŚLĄSKIE,2,020703,Lubawka,kamiennogórski,7,9382,5467,5465,64,5401,27,15,121,30,562,3830,166,27,577,3,37,6
DOLNOŚLĄSKIE,2,021202,Lubomierz,lwówecki,6,4582,2420,2419,28,2391,16,2,132,24,316,1501,83,30,252,4,19,12
DOLNOŚLĄSKIE,2,021203,Lwówek Śląski,lwówecki,15,14002,7904,7899,88,7811,37,20,214,81,980,4894,275,52,1189,4,47,18
DOLNOŚLĄSKIE,2,020704,Marciszów,kamiennogórski,7,3690,2058,2058,24,2034,15,3,73,15,234,1323,42,8,276,3,37,5
DOLNOŚLĄSKIE,2,021204,Mirsk,lwówecki,7,7235,3732,3728,50,3678,28,10,105,27,443,2416,127,42,434,3,32,11
DOLNOŚLĄSKIE,2,020607,Mysłakowice,jeleniogórski,7,7641,4293,4292,57,4235,18,3,143,42,451,2631,85,15,815,3,24,5
DOLNOŚLĄSKIE,2,020104,Nowogrodziec,bolesławiecki,12,10558,5433,5433,94,5339,21,7,268,49,744,3162,280,35,701,2,57,13
DOLNOŚLĄSKIE,2,021005,Olszyna,lubański,4,5322,2925,2925,31,2894,21,5,95,18,280,1972,80,4,376,3,30,10
DOLNOŚLĄSKIE,2,020105,Osiecznica,bolesławiecki,7,4606,2498,2497,41,2456,8,0,62,26,320,1590,78,10,332,1,24,5
DOLNOŚLĄSKIE,2,020603,Piechowice,jeleniogórski,4,5229,3125,3125,30,3095,7,8,36,55,352,1908,43,7,652,3,23,1
DOLNOŚLĄSKIE,2,022504,Pieńsk,zgorzelecki,9,7180,3958,3958,52,3906,24,7,116,41,405,2602,114,9,554,2,24,8
DOLNOŚLĄSKIE,2,021006,Platerówka,lubański,1,1262,718,718,8,710,3,1,38,7,108,438,23,7,79,0,4,2
DOLNOŚLĄSKIE,2,020608,Podgórzyn,jeleniogórski,9,6130,3468,3467,41,3426,12,8,88,63,397,2076,67,14,657,4,37,3
DOLNOŚLĄSKIE,2,021007,Siekierczyn,lubański,4,3708,2134,2133,33,2100,16,4,115,21,301,1264,103,23,204,0,46,3
DOLNOŚLĄSKIE,2,020609,Stara Kamienica,jeleniogórski,4,3900,2103,2102,25,2077,15,3,96,23,172,1379,87,4,288,1,7,2
DOLNOŚLĄSKIE,2,022505,Sulików,zgorzelecki,4,4477,2380,2379,26,2353,12,3,101,17,387,1392,107,7,299,2,21,5
DOLNOŚLĄSKIE,2,020604,Szklarska Poręba,jeleniogórski,8,6245,3677,3673,49,3624,18,7,39,66,381,2295,39,28,709,6,27,9
DOLNOŚLĄSKIE,2,021002,Świeradów-Zdrój,lubański,3,3920,2260,2259,29,2230,10,3,59,37,234,1337,60,17,443,3,21,6
DOLNOŚLĄSKIE,2,020106,Warta Bolesławiecka,bolesławiecki,4,5386,2904,2904,35,2869,11,6,133,13,331,1850,164,33,304,2,20,2
DOLNOŚLĄSKIE,2,022506,Węgliniec,zgorzelecki,7,6968,4207,4206,57,4149,23,5,99,35,510,2824,61,11,524,2,49,6
DOLNOŚLĄSKIE,2,021205,Wleń,lwówecki,5,3700,2064,2063,24,2039,13,3,80,27,325,1239,50,14,263,3,22,0
DOLNOŚLĄSKIE,2,022501,Zawidów,zgorzelecki,2,3437,2100,2099,16,2083,20,10,46,25,301,1317,47,7,276,2,26,6
DOLNOŚLĄSKIE,2,022502,Zgorzelec,zgorzelecki,17,27922,17594,17586,153,17433,106,44,210,231,1948,11151,256,71,3221,18,157,20
DOLNOŚLĄSKIE,2,022507,Zgorzelec gm.,zgorzelecki,10,5650,3061,3061,54,3007,16,5,94,26,277,1941,133,15,470,3,21,6
DOLNOŚLĄSKIE,3,020502,Bolków,jaworski,12,8785,4963,4962,50,4912,26,9,160,51,533,3245,228,20,598,5,32,5
DOLNOŚLĄSKIE,3,021601,Chocianów,polkowicki,8,9575,5803,5802,58,5744,30,9,194,76,1135,3233,220,24,755,1,60,7
DOLNOŚLĄSKIE,3,020901,Chojnów,legnicki,7,10804,6433,6432,49,6383,39,21,201,61,864,4039,160,61,846,5,67,19
DOLNOŚLĄSKIE,3,020902,Chojnów gm.,legnicki,7,7158,3765,3765,29,3736,19,10,360,17,452,2200,260,24,355,2,27,10
DOLNOŚLĄSKIE,3,021602,Gaworzyce,polkowicki,3,2792,1784,1784,21,1763,8,4,101,21,178,1163,118,9,147,1,9,4
DOLNOŚLĄSKIE,3,020301,Głogów,głogowski,35,55839,37055,37038,274,36764,171,66,638,551,4547,24234,717,144,5367,25,253,51
DOLNOŚLĄSKIE,3,020302,Głogów gm.,głogowski,4,3563,2155,2154,30,2124,6,1,117,9,309,1358,91,8,207,4,11,3
DOLNOŚLĄSKIE,3,020401,Góra,górowski,13,15609,9500,9499,76,9423,51,22,533,106,1021,6124,372,60,1050,9,62,13
DOLNOŚLĄSKIE,3,021603,Grębocice,polkowicki,4,3786,2188,2187,22,2165,7,6,147,8,168,1592,98,5,119,1,11,3
DOLNOŚLĄSKIE,3,020501,Jawor,jaworski,14,19198,11769,11767,95,11672,95,34,240,189,1812,6847,258,54,2034,7,84,18
DOLNOŚLĄSKIE,3,020402,Jemielno,górowski,3,2320,1245,1245,16,1229,2,0,74,5,118,803,133,5,78,1,8,2
DOLNOŚLĄSKIE,3,020303,Jerzmanowa,głogowski,4,1956,1187,1187,12,1175,3,2,109,9,100,766,82,4,92,1,5,2
DOLNOŚLĄSKIE,3,020304,Kotla,głogowski,5,2982,1718,1718,25,1693,3,1,95,22,211,1073,105,12,134,2,28,7
DOLNOŚLĄSKIE,3,020903,Krotoszyce,legnicki,3,2276,1223,1223,16,1207,7,0,130,9,171,651,67,5,156,0,9,2
DOLNOŚLĄSKIE,3,020904,Kunice,legnicki,4,3323,1946,1946,13,1933,7,2,137,22,189,1254,84,5,218,1,10,4
DOLNOŚLĄSKIE,3,026201,Legnica,Legnica,51,82263,50794,50763,415,50348,298,102,877,721,7575,31302,803,379,7767,38,388,98
DOLNOŚLĄSKIE,3,020905,Legnickie Pole,legnicki,4,3739,2008,2008,18,1990,6,2,173,19,155,1342,110,8,160,0,13,2
DOLNOŚLĄSKIE,3,021101,Lubin,lubiński,51,63396,40036,40032,294,39738,174,89,601,555,5216,25291,632,135,6683,33,292,37
DOLNOŚLĄSKIE,3,021102,Lubin gm.,lubiński,10,7019,3873,3873,54,3819,7,4,158,26,367,2602,179,9,434,1,28,4
DOLNOŚLĄSKIE,3,020503,Męcinka,jaworski,4,3594,1905,1905,19,1886,5,5,173,14,256,1129,107,3,177,2,15,0
DOLNOŚLĄSKIE,3,020906,Miłkowice,legnicki,8,4756,2833,2832,23,2809,11,9,145,22,364,1743,116,10,363,4,18,4
DOLNOŚLĄSKIE,3,020504,Mściwojów,jaworski,3,3167,1924,1924,41,1883,10,1,242,12,160,1199,103,22,120,3,6,5
DOLNOŚLĄSKIE,3,020403,Niechlów,górowski,4,3819,2099,2099,25,2074,4,4,183,15,202,1362,140,2,140,4,17,1
DOLNOŚLĄSKIE,3,020505,Paszowice,jaworski,2,2945,1433,1433,17,1416,4,3,119,12,228,778,98,5,157,0,10,2
DOLNOŚLĄSKIE,3,020305,Pęcław,głogowski,2,1668,951,951,11,940,5,0,61,7,91,679,62,2,28,0,4,1
DOLNOŚLĄSKIE,3,022603,Pielgrzymka,złotoryjski,7,3467,1910,1909,21,1888,7,1,154,14,172,1186,103,16,222,2,8,3
DOLNOŚLĄSKIE,3,021604,Polkowice,polkowicki,14,19094,11905,11900,85,11815,38,19,152,119,1270,8373,217,36,1520,6,56,9
DOLNOŚLĄSKIE,3,020907,Prochowice,legnicki,5,5500,3011,3010,34,2976,13,3,128,24,348,1924,97,8,416,0,13,2
DOLNOŚLĄSKIE,3,021605,Przemków,polkowicki,7,6646,3948,3947,43,3904,21,3,81,63,538,2631,102,17,407,6,33,2
DOLNOŚLĄSKIE,3,021606,Radwanice,polkowicki,2,3072,1854,1854,17,1837,9,6,77,7,91,1362,130,4,137,4,10,0
DOLNOŚLĄSKIE,3,021103,Rudna,lubiński,5,5149,3003,3002,21,2981,8,4,131,18,310,2091,114,8,273,3,19,2
DOLNOŚLĄSKIE,3,020908,Ruja,legnicki,3,2151,1168,1168,12,1156,2,0,108,6,138,800,54,2,35,0,7,4
DOLNOŚLĄSKIE,3,021104,Ścinawa,lubiński,7,8036,4540,4538,44,4494,22,10,181,36,791,2701,164,25,529,4,25,6
DOLNOŚLĄSKIE,3,022604,Świerzawa,złotoryjski,9,6018,3475,3474,41,3433,13,5,128,22,327,2451,131,8,318,4,23,3
DOLNOŚLĄSKIE,3,020506,Wądroże Wielkie,jaworski,3,3114,1791,1790,20,1770,2,4,204,7,113,1216,110,5,101,0,7,1
DOLNOŚLĄSKIE,3,020404,Wąsosz,górowski,5,5615,3023,3023,33,2990,13,5,195,22,259,2023,188,11,252,3,12,7
DOLNOŚLĄSKIE,3,022601,Wojcieszów,złotoryjski,3,3104,1691,1691,21,1670,10,5,45,19,182,1155,53,18,170,1,10,2
DOLNOŚLĄSKIE,3,022605,Zagrodno,złotoryjski,5,4298,2331,2331,30,2301,9,4,237,25,331,1307,147,18,209,1,10,3
DOLNOŚLĄSKIE,3,022602,Złotoryja,złotoryjski,9,13319,8285,8281,76,8205,29,14,169,119,1068,5223,155,30,1313,4,69,12
DOLNOŚLĄSKIE,3,022606,Złotoryja gm.,złotoryjski,5,5155,2848,2848,36,2812,12,1,186,15,391,1688,136,7,331,3,30,12
DOLNOŚLĄSKIE,3,020306,Żukowice,głogowski,2,2584,1417,1417,24,1393,5,3,122,6,141,896,112,2,97,1,7,1
DOLNOŚLĄSKIE,4,022401,Bardo,ząbkowicki,4,4421,2662,2661,46,2615,15,3,111,15,340,1703,90,8,303,1,20,6
DOLNOŚLĄSKIE,4,020201,Bielawa,dzierżoniowski,16,26323,15453,15437,142,15295,98,34,246,202,1779,10245,260,83,2177,17,124,30
DOLNOŚLĄSKIE,4,022101,Boguszów-Gorce,wałbrzyski,9,13967,8419,8418,76,8342,36,7,126,64,804,6185,118,18,889,3,78,14
DOLNOŚLĄSKIE,4,020806,Bystrzyca Kłodzka,kłodzki,17,16526,9474,9471,98,9373,36,20,528,103,1199,5510,300,26,1550,4,85,12
DOLNOŚLĄSKIE,4,022402,Ciepłowody,ząbkowicki,2,2475,1296,1295,10,1285,3,1,74,9,178,818,81,2,104,0,13,2
DOLNOŚLĄSKIE,4,022104,Czarny Bór,wałbrzyski,3,3470,2066,2066,19,2047,4,1,91,19,212,1328,65,14,276,5,26,6
DOLNOŚLĄSKIE,4,021903,Dobromierz,świdnicki,4,4129,2333,2332,30,2302,11,4,146,19,394,1377,102,8,226,1,9,5
DOLNOŚLĄSKIE,4,020801,Duszniki-Zdrój,kłodzki,3,4659,2791,2790,22,2768,18,2,51,41,357,1715,28,18,508,2,26,2
DOLNOŚLĄSKIE,4,020202,Dzierżoniów,dzierżoniowski,21,29678,18264,18261,152,18109,78,46,278,262,2335,11564,324,86,2940,11,155,30
DOLNOŚLĄSKIE,4,020205,Dzierżoniów gm.,dzierżoniowski,13,7324,4336,4336,45,4291,13,7,268,35,542,2597,236,35,523,3,28,4
DOLNOŚLĄSKIE,4,022105,Głuszyca,wałbrzyski,7,7449,4362,4362,29,4333,25,12,123,48,646,2824,96,20,489,2,40,8
DOLNOŚLĄSKIE,4,021904,Jaworzyna Śląska,świdnicki,5,7706,4357,4343,37,4306,33,5,145,82,679,2471,165,20,653,4,42,7
DOLNOŚLĄSKIE,4,022102,Jedlina-Zdrój,wałbrzyski,6,4148,2511,2509,20,2489,9,2,44,37,275,1759,43,11,287,0,16,6
DOLNOŚLĄSKIE,4,022403,Kamieniec Ząbkowicki,ząbkowicki,10,6592,4065,4065,55,4010,13,10,115,40,437,2798,172,6,398,2,15,4
DOLNOŚLĄSKIE,4,020802,Kłodzko,kłodzki,19,25028,14780,14773,111,14662,81,34,301,221,2375,8334,207,80,2838,14,148,29
DOLNOŚLĄSKIE,4,020807,Kłodzko gm.,kłodzki,13,13227,7225,7225,96,7129,35,17,546,79,996,4174,259,35,899,5,70,14
DOLNOŚLĄSKIE,4,020803,Kudowa-Zdrój,kłodzki,7,8659,5258,5255,64,5191,40,8,104,43,1000,3004,114,24,798,8,45,3
DOLNOŚLĄSKIE,4,020808,Lądek-Zdrój,kłodzki,7,7878,4499,4498,50,4448,25,16,133,60,458,2786,121,32,737,2,59,19
DOLNOŚLĄSKIE,4,020809,Lewin Kłodzki,kłodzki,2,1560,851,851,12,839,1,3,28,11,141,463,37,2,142,0,10,1
DOLNOŚLĄSKIE,4,020206,Łagiewniki,dzierżoniowski,5,5586,3167,3165,34,3131,16,3,237,24,401,1891,167,20,332,8,23,9
DOLNOŚLĄSKIE,4,021905,Marcinowice,świdnicki,7,4705,2670,2670,37,2633,14,3,246,17,455,1419,112,16,336,1,8,6
DOLNOŚLĄSKIE,4,022106,Mieroszów,wałbrzyski,7,5998,3368,3367,37,3330,18,10,77,40,253,2460,52,7,387,1,23,2
DOLNOŚLĄSKIE,4,020810,Międzylesie,kłodzki,9,6065,3448,3446,43,3403,20,6,129,41,342,2228,142,17,426,2,41,9
DOLNOŚLĄSKIE,4,020207,Niemcza,dzierżoniowski,7,4943,3000,3000,49,2951,17,8,98,28,381,1848,113,19,417,0,16,6
DOLNOŚLĄSKIE,4,020804,Nowa Ruda,kłodzki,14,20689,12477,12469,102,12367,61,25,176,125,1303,8761,202,57,1535,21,83,18
DOLNOŚLĄSKIE,4,020811,Nowa Ruda gm.,kłodzki,12,9781,5697,5697,51,5646,30,14,154,50,554,3975,160,17,643,4,31,14
DOLNOŚLĄSKIE,4,020203,Pieszyce,dzierżoniowski,7,7683,4353,4351,58,4293,17,8,114,31,676,2727,101,19,557,2,32,9
DOLNOŚLĄSKIE,4,020204,Piława Górna,dzierżoniowski,4,5148,3043,3042,31,3011,22,9,101,21,418,1934,87,15,362,0,35,7
DOLNOŚLĄSKIE,4,020805,Polanica-Zdrój,kłodzki,6,5893,3519,3519,37,3482,17,3,61,62,685,1816,50,26,734,2,26,0
DOLNOŚLĄSKIE,4,020812,Radków,kłodzki,6,7283,4109,4109,51,4058,19,6,189,43,599,2466,141,28,524,1,37,5
DOLNOŚLĄSKIE,4,022107,Stare Bogaczowice,wałbrzyski,6,3077,1876,1876,18,1858,3,1,95,15,159,1286,91,6,192,0,7,3
DOLNOŚLĄSKIE,4,022404,Stoszowice,ząbkowicki,7,4271,2517,2516,43,2473,14,2,130,18,296,1492,125,11,352,1,27,5
DOLNOŚLĄSKIE,4,020813,Stronie Śląskie,kłodzki,3,5973,3668,3668,24,3644,34,12,69,74,273,2625,80,5,440,2,25,5
DOLNOŚLĄSKIE,4,021906,Strzegom,świdnicki,20,21334,13341,13338,113,13225,69,29,309,154,1636,8874,423,75,1529,9,108,10
DOLNOŚLĄSKIE,4,022103,Szczawno-Zdrój,wałbrzyski,3,5140,3332,3332,28,3304,11,14,71,48,418,2100,44,16,552,4,19,7
DOLNOŚLĄSKIE,4,020814,Szczytna,kłodzki,5,5735,3159,3159,31,3128,18,4,91,42,353,1976,82,12,520,2,22,6
DOLNOŚLĄSKIE,4,021901,Świdnica,świdnicki,33,49646,31401,31385,228,31157,176,76,468,624,4624,18065,471,245,6067,29,267,45
DOLNOŚLĄSKIE,4,021907,Świdnica gm.,świdnicki,10,11373,6278,6275,61,6214,19,11,344,57,764,3813,263,18,866,1,49,9
DOLNOŚLĄSKIE,4,021902,Świebodzice,świdnicki,15,18818,11280,11278,83,11195,97,30,181,169,1303,7462,192,39,1572,7,94,49
DOLNOŚLĄSKIE,4,022108,Walim,wałbrzyski,4,4589,2418,2418,33,2385,12,11,104,37,274,1587,67,8,264,4,12,5
DOLNOŚLĄSKIE,4,026301,Wałbrzych,Wałbrzych,71,106381,63683,63611,519,63092,309,168,740,727,6494,44923,913,202,8066,63,397,90
DOLNOŚLĄSKIE,4,022405,Ząbkowice Śląskie,ząbkowicki,16,18742,11524,11512,94,11418,56,17,458,138,1527,7006,325,67,1699,9,101,15
DOLNOŚLĄSKIE,4,022406,Ziębice,ząbkowicki,19,14710,8587,8585,80,8505,47,14,561,58,998,5376,377,34,978,5,49,8
DOLNOŚLĄSKIE,4,022407,Złoty Stok,ząbkowicki,8,3851,2343,2343,37,2306,21,5,73,34,296,1355,84,13,378,6,34,7
DOLNOŚLĄSKIE,4,021908,Żarów,świdnicki,10,9557,5648,5647,63,5584,25,14,170,54,782,3506,189,33,770,6,32,3
KUJAWSKO-POMORSKIE,5,041901,Barcin,żniński,8,11500,7085,7084,72,7012,23,18,291,43,398,5221,211,40,721,4,36,6
KUJAWSKO-POMORSKIE,5,040301,Białe Błota,bydgoski,5,7357,4501,4499,55,4444,29,10,90,60,521,2854,93,27,706,4,41,9
KUJAWSKO-POMORSKIE,5,041401,Bukowiec,świecki,4,3707,2230,2230,16,2214,4,5,275,19,180,1325,213,11,157,3,18,4
KUJAWSKO-POMORSKIE,5,046101,Bydgoszcz,Bydgoszcz,204,292721,197892,197810,1403,196407,1053,432,2637,3330,28940,119319,2271,1774,34135,149,2035,332
KUJAWSKO-POMORSKIE,5,041601,Cekcyn,tucholski,4,4614,2970,2970,34,2936,16,4,182,26,288,1928,151,24,282,4,24,7
KUJAWSKO-POMORSKIE,5,040901,Dąbrowa,mogileński,5,3444,2317,2314,29,2285,5,2,295,8,78,1674,111,10,87,3,10,2
KUJAWSKO-POMORSKIE,5,040702,Dąbrowa Biskupia,inowrocławski,5,3988,2200,2200,42,2158,4,2,304,13,130,1454,131,21,87,2,7,3
KUJAWSKO-POMORSKIE,5,040302,Dąbrowa Chełmińska,bydgoski,6,4742,2574,2573,31,2542,8,0,178,36,234,1580,145,30,308,2,18,3
KUJAWSKO-POMORSKIE,5,040303,Dobrcz,bydgoski,6,6307,3798,3798,49,3749,15,2,280,35,271,2496,279,23,320,1,22,5
KUJAWSKO-POMORSKIE,5,041402,Dragacz,świecki,6,5436,3148,3148,25,3123,7,6,112,28,208,2362,94,8,277,0,19,2
KUJAWSKO-POMORSKIE,5,041403,Drzycim,świecki,4,3652,2190,2189,21,2168,18,7,253,19,230,1251,110,3,257,6,11,3
KUJAWSKO-POMORSKIE,5,041902,Gąsawa,żniński,4,3801,2624,2622,41,2581,7,4,271,13,148,1756,154,53,157,2,12,4
KUJAWSKO-POMORSKIE,5,040703,Gniewkowo,inowrocławski,13,11086,6806,6802,74,6728,29,16,383,53,454,4895,178,47,607,9,44,13
